"Specimen","lon","lat"
"JDL418-OR12-2012--Bv",-122.6065,42.2721
"JDL419-OR12-2012--Bv",-122.6065,42.2721
"JDL420-OR12-2012--Bv",-122.6065,42.2721
"JDL421-OR12-2012--Bv",-122.6065,42.2721
"JDL422-OR12-2012--Bv",-122.6065,42.2721
"JDL423-OR12-2012--Bv",-122.6065,42.2721
"JDL424-OR12-2012--Bv",-122.6065,42.2721
"JDL425-OR12-2012--Bv",-122.6065,42.2721
"JDL426-OR12-2012--Bv",-122.6065,42.2721
"JDL427-OR12-2012--Bv",-122.6065,42.2721
"JDL430-OR12-2012--Bv",-122.6065,42.2721
"JDL432-OR12-2012--Bv",-122.6065,42.2721
"JDL433-OR12-2012--Bv",-122.6065,42.2721
"JDL467-CA02-2013--Bv",-119.0282,37.6531
"JDL473-CA02-2013--Bv",-119.0282,37.6531
"JDL474-CA02-2013-C-Bv",-119.0282,37.6531
"JDL476-CA02-2013--Bv",-119.0282,37.6531
"JDL479-CA03-2013--Bv",-119.7968,37.7531
"JDL480-CA03-2013--Bv",-119.7968,37.7531
"JDL492-CA03-2013--Bv",-119.7968,37.7531
"JDL493-CA03-2013--Bv",-119.7968,37.7531
"JDL494-CA03-2013--Bv",-119.7968,37.7531
"JDL495-CA03-2013--Bv",-119.7968,37.7531
"JDL496-CA03-2013--Bv",-119.7968,37.7531
"JDL539-CA06-2013--Bv",-120.1174,38.1182
"JDL541-CA06-2013--Bv",-120.1174,38.1182
"JDL564-CA08-2013--Bv",-119.4462,37.8458
"JDL565-CA08-2013--Bv",-119.4462,37.8458
"JDL579-CA08-2013--Bv",-119.4462,37.8458
"JDL585-CA09-2013--Bv",-119.6409,37.7245
"JDL586-CA09-2013--Bv",-119.6409,37.7245
"JDL605-CA10-2013--Bv",-120.3674,37.9731
"JDL617-CA10-2013--Bv",-120.3674,37.9731
"JDL640-CA12-2013--Bv",-120.9657,39.1382
"JDL647-CA12-2013--Bv",-120.9657,39.1382
"JDL648-CA12-2013--Bv",-120.9657,39.1382
"JDL649-CA12-2013--Bv",-120.9657,39.1382
"JDL666-CA13-2013--Bv",-122.2964,41.1625
"JDL737-OR03-2014--Bv",-122.1886,43.32
"JDL738-OR03-2014--Bv",-122.1886,43.32
"JDL739-OR03-2014--Bv",-122.1886,43.32
"JDL741-OR03-2014--Bv",-122.1886,43.32
"JDL743-OR03-2014--Bv",-122.1886,43.32
"JDL744-OR03-2014--Bv",-122.1886,43.32
"JDL745-OR03-2014--Bv",-122.1886,43.32
"JDL746-OR03-2014--Bv",-122.1886,43.32
"JDL747-OR03-2014--Bv",-122.1886,43.32
"JDL860-OR03-2014--Bv",-122.1886,43.32
"JDL861-OR03-2014--Bv",-122.1886,43.32
"JDL862-OR03-2014--Bv",-122.1886,43.32
"JDL864-OR03-2014--Bv",-122.1886,43.32
"JDL865-OR03-2014--Bv",-122.1886,43.32
"JDL866-OR03-2014--Bv",-122.1886,43.32
"JDL936-CA01-2015--Bv",-118.8786,36.4576
"JDL937-CA01-2015--Bv",-118.8786,36.4576
"JDL938-CA01-2015--Bv",-118.8786,36.4576
"JDL939-CA01-2015--Bv",-118.8786,36.4576
"JDL940-CA01-2015--Bv",-118.8786,36.4576
"JDL941-CA01-2015--Bv",-118.8786,36.4576
"JDL942-CA01-2015--Bv",-118.8786,36.4576
"JDL954-CA02-2015--Bv",-118.889,36.8187
"JDL955-CA02-2015--Bv",-118.889,36.8187
"JDL956-CA02-2015--Bv",-118.889,36.8187
"JDL958-CA02-2015--Bv",-118.889,36.8187
"JDL960-CA02-2015--Bv",-118.889,36.8187
"JDL964-CA02-2015--Bv",-118.889,36.8187
"JDL982-CA03-2015--Bv",-118.626,36.7821
"JDL983-CA03-2015--Bv",-118.626,36.7821
"JDL985-CA03-2015--Bv",-118.626,36.7821
"JDL986-CA03-2015--Bv",-118.626,36.7821
"JDL989-CA03-2015--Bv",-118.626,36.7821
"JDL990-CA03-2015--Bv",-118.626,36.7821
"JDL1013-CA04-2015--Bv",-119.4718,37.0453
"JDL1016-CA04-2015--Bv",-119.4718,37.0453
"JDL1019-CA04-2015--Bv",-119.4718,37.0453
"JDL1036-CA05-2015--Bv",-119.39244,37.05299
"JDL1037-CA05-2015--Bv",-119.39244,37.05299
"JDL1038-CA05-2015--Bv",-119.39244,37.05299
"JDL1051-CA06-2015--Bv",-119.732,37.012
"JDL1052-CA06-2015--Bv",-119.732,37.012
"JDL1054-CA06-2015--Bv",-119.732,37.012
"JDL1056-CA06-2015--Bv",-119.732,37.012
"JDL1117-CA10-2015--Bv",-120.5229,37.8884
"JDL1118-CA10-2015--Bv",-120.5229,37.8884
"JDL1120-CA10-2015--Bv",-120.5229,37.8884
"JDL1121-CA10-2015--Bv",-120.5229,37.8884
"JDL1135-CA11-2015--Bv",-121.4504,39.2372
"JDL1136-CA11-2015--Bv",-121.4504,39.2372
"JDL1137-CA11-2015--Bv",-121.4504,39.2372
"JDL1138-CA11-2015--Bv",-121.4504,39.2372
"JDL1140-CA11-2015--Bv",-121.4504,39.2372
"JDL1141-CA11-2015--Bv",-121.4504,39.2372
"JDL1142-CA11-2015--Bv",-121.4504,39.2372
"JDL1153-CA12-2015--Bv",-122.3218,40.5084
"JDL1154-CA12-2015--Bv",-122.3218,40.5084
"JDL1155-CA12-2015--Bv",-122.3218,40.5084
"JDL1156-CA12-2015--Bv",-122.3218,40.5084
"JDL1157-CA12-2015--Bv",-122.3218,40.5084
"JDL1158-CA12-2015--Bv",-122.3218,40.5084
"JDL1159-CA12-2015--Bv",-122.3218,40.5084
"JDL1160-CA12-2015--Bv",-122.3218,40.5084
"JDL1161-CA12-2015--Bv",-122.3218,40.5084
"JDL1171-OR01-2015--Bv",-123.20711,43.31418
"JDL1181-OR02-2015--Bv",-123.0628,45.2384
"JDL1183-OR02-2015--Bv",-123.0628,45.2384
"JDL1185-OR02-2015--Bv",-123.0628,45.2384
"JDL1186-OR02-2015--Bv",-123.0628,45.2384
"JDL1189-OR02-2015--Bv",-123.0628,45.2384
"JDL1208-CA13-2015--Bv",-118.8117,36.6192
"JDL1209-CA13-2015--Bv",-118.8117,36.6192
"JDL1210-CA13-2015--Bv",-118.8117,36.6192
"JDL1212-CA13-2015--Bv",-118.8117,36.6192
"JDL1213-CA13-2015--Bv",-118.8117,36.6192
"JDL1214-CA13-2015--Bv",-118.8117,36.6192
"JDL1216-CA13-2015--Bv",-118.8117,36.6192
"JDL1217-CA13-2015--Bv",-118.8117,36.6192
"JDL1270-CA15-2015--Bv",-119.2143,37.2023
"JDL1272-CA15-2015--Bv",-119.2143,37.2023
"JDL1273-CA15-2015--Bv",-119.2143,37.2023
"JDL1274-CA15-2015--Bv",-119.2143,37.2023
"JDL1275-CA15-2015--Bv",-119.2143,37.2023
"JDL1884-CA29-2015--Bv",-119.1023,37.2915
"JDL1885-CA29-2015--Bv",-119.1023,37.2915
"JDL1886-CA29-2015--Bv",-119.1023,37.2915
"JDL1887-CA29-2015--Bv",-119.1023,37.2915
"JDL1888-CA29-2015--Bv",-119.1023,37.2915
"JDL1890-CA29-2015--Bv",-119.1023,37.2915
"JDL1891-CA29-2015--Bv",-119.1023,37.2915
"JDL668-CA01-2014-S-Bv",-121.75424,38.5328
"JDL928-CA01-2015-S-Bv",-118.8786,36.4576
"JDL929-CA01-2015-S-Bv",-118.8786,36.4576
"JDL930-CA01-2015-S-Bv",-118.8786,36.4576
"JDL932-CA01-2015-S-Bv",-118.8786,36.4576
"JDL933-CA01-2015-S-Bv",-118.8786,36.4576
"JDL934-CA01-2015-S-Bv",-118.8786,36.4576
"JDL945-CA02-2015-S-Bv",-118.889,36.8187
"JDL946-CA02-2015-S-Bv",-118.889,36.8187
"JDL948-CA02-2015-S-Bv",-118.889,36.8187
"JDL949-CA02-2015-S-Bv",-118.889,36.8187
"JDL951-CA02-2015-S-Bv",-118.889,36.8187
"JDL953-CA02-2015-S-Bv",-118.889,36.8187
"JDL975-CA03-2015-S-Bv",-118.626,36.7821
"JDL977-CA03-2015-S-Bv",-118.626,36.7821
"JDL978-CA03-2015-S-Bv",-118.626,36.7821
"JDL979-CA03-2015-S-Bv",-118.626,36.7821
"JDL980-CA03-2015-S-Bv",-118.626,36.7821
"JDL981-CA03-2015-S-Bv",-118.626,36.7821
"JDL1001-CA04-2015-S-Bv",-119.4718,37.0453
"JDL1006-CA04-2015-S-Bv",-119.4718,37.0453
"JDL1009-CA04-2015-S-Bv",-119.4718,37.0453
"JDL1033-CA05-2015-S-Bv",-119.39244,37.05299
"JDL1040-CA06-2015-S-Bv",-119.732,37.012
"JDL1041-CA06-2015-S-Bv",-119.732,37.012
"JDL1042-CA06-2015-S-Bv",-119.732,37.012
"JDL1043-CA06-2015-S-Bv",-119.732,37.012
"JDL1044-CA06-2015-S-Bv",-119.732,37.012
"JDL1045-CA06-2015-S-Bv",-119.732,37.012
"JDL1046-CA06-2015-S-Bv",-119.732,37.012
"JDL1047-CA06-2015-S-Bv",-119.732,37.012
"JDL1112-CA10-2015-S-Bv",-120.5229,37.8884
"JDL1113-CA10-2015-S-Bv",-120.5229,37.8884
"JDL1114-CA10-2015-S-Bv",-120.5229,37.8884
"JDL1115-CA10-2015-S-Bv",-120.5229,37.8884
"JDL1116-CA10-2015-S-Bv",-120.5229,37.8884
"JDL1126-CA11-2015-S-Bv",-121.4504,39.2372
"JDL1127-CA11-2015-S-Bv",-121.4504,39.2372
"JDL1128-CA11-2015-S-Bv",-121.4504,39.2372
"JDL1130-CA11-2015-S-Bv",-121.4504,39.2372
"JDL1133-CA11-2015-S-Bv",-121.4504,39.2372
"JDL1134-CA11-2015-S-Bv",-121.4504,39.2372
"JDL1144-CA12-2015-S-Bv",-122.3218,40.5084
"JDL1145-CA12-2015-S-Bv",-122.3218,40.5084
"JDL1146-CA12-2015-S-Bv",-122.3218,40.5084
"JDL1147-CA12-2015-S-Bv",-122.3218,40.5084
"JDL1148-CA12-2015-S-Bv",-122.3218,40.5084
"JDL1149-CA12-2015-S-Bv",-122.3218,40.5084
"JDL1151-CA12-2015-S-Bv",-122.3218,40.5084
"JDL1152-CA12-2015-S-Bv",-122.3218,40.5084
"JDL1169-OR01-2015-S-Bv",-123.20711,43.31418
"JDL1170-OR01-2015-S-Bv",-123.20711,43.31418
"JDL1172-OR02-2015-S-Bv",-123.0628,45.2384
"JDL1174-OR02-2015-S-Bv",-123.0628,45.2384
"JDL1175-OR02-2015-S-Bv",-123.0628,45.2384
"JDL1176-OR02-2015-S-Bv",-123.0628,45.2384
"JDL1177-OR02-2015-S-Bv",-123.0628,45.2384
"JDL1179-OR02-2015-S-Bv",-123.0628,45.2384
"JDL1180-OR02-2015-S-Bv",-123.0628,45.2384
"JDL1199-CA13-2015-S-Bv",-118.8117,36.6192
"JDL1200-CA13-2015-S-Bv",-118.8117,36.6192
"JDL1202-CA13-2015-S-Bv",-118.8117,36.6192
"JDL1203-CA13-2015-S-Bv",-118.8117,36.6192
"JDL1204-CA13-2015-S-Bv",-118.8117,36.6192
"JDL1205-CA13-2015-S-Bv",-118.8117,36.6192
"JDL1206-CA13-2015-S-Bv",-118.8117,36.6192
"JDL1207-CA13-2015-S-Bv",-118.8117,36.6192
"JDL1263-CA15-2015-S-Bv",-119.2143,37.2023
"JDL1264-CA15-2015-S-Bv",-119.2143,37.2023
"JDL1265-CA15-2015-S-Bv",-119.2143,37.2023
"JDL1266-CA15-2015-S-Bv",-119.2143,37.2023
"JDL1267-CA15-2015-S-Bv",-119.2143,37.2023
"JDL1269-CA15-2015-S-Bv",-119.2143,37.2023
"JDL1295-CA16-2015-S-Bv",-119.10329,37.28761
"JDL1892-CA29-2015-S-Bv",-119.1023,37.2915
"JDL1893-CA29-2015-S-Bv",-119.1023,37.2915
"JDL1894-CA29-2015-S-Bv",-119.1023,37.2915
