"Specimen","lon","lat"
"JDL2834-WA03-2016--Bb",-120.3734,48.5886
"JDL2842-WA04-2016--Bb",-120.4099,48.6191
"JDL2843-WA04-2016--Bb",-120.4099,48.6191
"JDL2844-WA04-2016--Bb",-120.4099,48.6191
"JDL2846-WA04-2016--Bb",-120.4099,48.6191
"JDL2847-WA04-2016--Bb",-120.4099,48.6191
"JDL3172-OR07-2016--Bb",-121.8376,44.2495
"JDL3173-OR07-2016--Bb",-121.8376,44.2495
"JDL3174-OR07-2016--Bb",-121.8376,44.2495
"JDL3175-OR07-2016--Bb",-121.8376,44.2495
"JDL3177-OR07-2016--Bb",-121.8376,44.2495
"JDL2901-WA08-2016--Bb",-120.7931,47.7664
"JDL2902-WA08-2016--Bb",-120.7931,47.7664
"JDL2903-WA08-2016--Bb",-120.7931,47.7664
"JDL2906-WA08-2016--Bb",-120.7931,47.7664
"JDL2907-WA08-2016--Bb",-120.7931,47.7664
"JDL2908-WA08-2016--Bb",-120.7931,47.7664
"JDL2911-WA09-2016--Bb",-120.4495,47.5353
"JDL2912-WA09-2016--Bb",-120.4495,47.5353
"JDL2914-WA09-2016--Bb",-120.4495,47.5353
"JDL2915-WA09-2016--Bb",-120.4495,47.5353
"JDL2919-WA10-2016--Bb",-120.6776,47.5353
"JDL2920-WA10-2016--Bb",-120.6776,47.5353
"JDL2921-WA10-2016--Bb",-120.6776,47.5353
"JDL2922-WA10-2016--Bb",-120.6776,47.5353
"JDL2924-WA10-2016--Bb",-120.6776,47.5353
"JDL2925-WA10-2016--Bb",-120.6776,47.5353
"JDL2926-WA10-2016--Bb",-120.6776,47.5353
"JDL2927-WA10-2016--Bb",-120.6776,47.5353
"JDL2929-WA10-2016--Bb",-120.6776,47.5353
"JDL2930-WA10-2016--Bb",-120.6776,47.5353
"JDL2931-WA10-2016--Bb",-120.6776,47.5353
"JDL2932-WA10-2016--Bb",-120.6776,47.5353
"JDL3001-WA11-2016--Bb",-117.4132,48.2988
"JDL3002-WA11-2016--Bb",-117.4132,48.2988
"JDL3003-WA11-2016--Bb",-117.4132,48.2988
"JDL3004b-WA11-2016--Bb",-117.4132,48.2988
"JDL3006-WA11-2016--Bb",-117.4132,48.2988
"JDL3007-WA11-2016--Bb",-117.4132,48.2988
"JDL3008b-WA11-2016--Bb",-117.4132,48.2988
"JDL3009-WA11-2016--Bb",-117.4132,48.2988
"JDL3015-WA12-2016--Bb",-117.5818,48.2822
"JDL3017-WA12-2016--Bb",-117.5818,48.2822
"JDL3018-WA12-2016--Bb",-117.5818,48.2822
"JDL3019-WA12-2016--Bb",-117.5818,48.2822
"JDL3022-WA12-2016--Bb",-117.5818,48.2822
"JDL3023-WA12-2016--Bb",-117.5818,48.2822
"JDL3024-WA12-2016--Bb",-117.5818,48.2822
"JDL3025-WA12-2016--Bb",-117.5818,48.2822
"JDL3027-WA12-2016--Bb",-117.5818,48.2822
"JDL3028-WA12-2016--Bb",-117.5818,48.2822
"JDL3029-WA12-2016--Bb",-117.5818,48.2822
"JDL3030-WA12-2016--Bb",-117.5818,48.2822
"JDL882-OR10-2014-D-Bb",-122.7173,42.0761
"JDL923-OR11-2014-D-Bb",-122.6827,42.0669
"JDL2904-WA08-2016-D-Bb",-120.7931,47.7664
"JDL2928-WA10-2016-D-Bb",-120.6776,47.5353
"JDL3031-WA12-2016--Bb",-117.5818,48.2822
"JDL3035-WA14-2016--Bb",-120.4037,48.6423
"JDL3036-WA14-2016--Bb",-120.4037,48.6423
"JDL3037-WA14-2016--Bb",-120.4037,48.6423
"JDL3038-WA14-2016--Bb",-120.4037,48.6423
"JDL3039-WA14-2016--Bb",-120.4037,48.6423
"JDL3040-WA14-2016--Bb",-120.4037,48.6423
"JDL3042-WA14-2016--Bb",-120.4037,48.6423
"JDL3045-WA14-2016--Bb",-120.4037,48.6423
"JDL3046-WA14-2016--Bb",-120.4037,48.6423
"JDL3049-WA15-2016--Bb",-121.0583,47.8007
"JDL3052-WA15-2016--Bb",-121.0583,47.8007
"JDL3053-WA15-2016--Bb",-121.0583,47.8007
"JDL3054-WA15-2016--Bb",-121.0583,47.8007
"JDL3055-WA16-2016--Bb",-121.0682,47.8041
"JDL3059-WA16-2016--Bb",-121.0682,47.8041
"JDL3062-WA16-2016--Bb",-121.0682,47.8041
"JDL3063-WA16-2016--Bb",-121.0682,47.8041
"JDL3064-WA16-2016--Bb",-121.0682,47.8041
"JDL3065-WA16-2016--Bb",-121.0682,47.8041
"JDL3066-WA16-2016--Bb",-121.0682,47.8041
"JDL3067-WA16-2016--Bb",-121.0682,47.8041
"JDL3068-WA16-2016--Bb",-121.0682,47.8041
"JDL3069-WA16-2016--Bb",-121.0682,47.8041
"JDL3070-WA16-2016--Bb",-121.0682,47.8041
"JDL3071-WA16-2016--Bb",-121.0682,47.8041
"JDL3072-WA16-2016--Bb",-121.0682,47.8041
"JDL3076-WA17-2016--Bb",-120.7139,47.8086
"JDL3077-WA17-2016--Bb",-120.7139,47.8086
"JDL3079-WA17-2016--Bb",-120.7139,47.8086
"JDL3080-WA17-2016--Bb",-120.7139,47.8086
"JDL3081-WA17-2016--Bb",-120.7139,47.8086
"JDL3082-WA17-2016-D-Bb",-120.7139,47.8086
"JDL3083-WA17-2016-D-Bb",-120.7139,47.8086
"JDL3084-WA17-2016--Bb",-120.7139,47.8086
"JDL3085-WA17-2016--Bb",-120.7139,47.8086
"JDL3086-WA17-2016--Bb",-120.7139,47.8086
"JDL3087-WA17-2016-D-Bb",-120.7139,47.8086
"JDL3088-WA18-2016--Bb",-120.4671,47.627
"JDL3089-WA18-2016--Bb",-120.4671,47.627
"JDL3091-WA18-2016--Bb",-120.4671,47.627
"JDL3092-WA18-2016--Bb",-120.4671,47.627
"JDL3093-WA18-2016--Bb",-120.4671,47.627
"JDL3094-WA18-2016--Bb",-120.4671,47.627
"JDL3095-WA18-2016--Bb",-120.4671,47.627
"JDL3096-WA18-2016--Bb",-120.4671,47.627
"JDL3097-WA18-2016--Bb",-120.4671,47.627
"JDL3098-WA18-2016-D-Bb",-120.4671,47.627
"JDL3099-WA18-2016--Bb",-120.4671,47.627
"JDL3100-WA18-2016--Bb",-120.4671,47.627
